handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
cozyzen.ai,498000.0,3,27000.0,0.05421686746987952,0.3333333333333333,1.0,0.0,0.6666666666666666,ai_creator,ai,2024-08-05,637.6440460947504,1,True,0.023,0.184,0.054,0.416,0.718,0.793,0.862,0.065,0.655,0.3862,204,False
wolferizorinteriors,20000.0,2,113934.0,5.6967,0.5,0.0,0.5,1.0,designer_studio,luxury_home;luxury_room,,,0,False,0.655,0.397,0.172,0.0,0.318,0.238,0.701,0.274,0.655,0.3856,205,True
mojisstyle,778000.0,2,636500.0,0.8181233933161953,0.5,0.0,1.0,1.0,lifestyle_influencer,room_generic;interior_generic,,,0,False,0.23,0.397,0.54,0.0,0.318,0.238,0.701,0.753,0.655,0.3852,206,False
flexicube.pl,227000.0,2,588600.0,2.5929515418502205,0.5,0.0,0.5,1.0,brand_manufacturer,unusual_home,,,0,False,0.471,0.397,0.521,0.0,0.318,0.238,0.701,0.274,0.655,0.3837,207,False
herjoliejourney,88000.0,2,342850.0,3.8960227272727272,0.5,0.0,1.0,0.0,lifestyle_influencer,hotel_resort;location,,,0,False,0.571,0.397,0.364,0.0,0.318,0.238,0.172,0.753,0.655,0.383,208,False
lifeofblahhh,58000.0,2,87700.0,1.5120689655172415,0.5,1.0,0.5,0.5,designer_studio,style,,,0,False,0.36,0.397,0.148,0.0,0.318,0.793,0.452,0.274,0.655,0.3826,209,False
cozynomadstudio,57000.0,2,153050.0,2.6850877192982456,0.0,1.0,0.5,0.5,ai_creator,ai;unusual_home,,,0,False,0.487,0.073,0.203,0.0,0.318,0.793,0.452,0.274,0.655,0.381,210,False
house_of_reservations,210000.0,2,1007500.0,4.7976190476190474,0.5,0.0,0.5,0.5,theme_page,style;luxury_home,,,0,False,0.617,0.397,0.667,0.0,0.318,0.238,0.452,0.274,0.19,0.3792,211,False
rvnxii_,21000.0,2,1769950.0,84.28333333333333,0.0,0.0,0.0,0.0,theme_page,location,,,0,False,0.962,0.073,0.759,0.0,0.318,0.238,0.172,0.065,0.19,0.3761,212,True
tinylivingdesignsi,298000.0,2,375650.0,1.2605704697986577,0.5,1.0,0.5,0.0,ai_creator,pool,,,0,False,0.326,0.397,0.402,0.0,0.318,0.793,0.172,0.274,0.655,0.3732,213,False
little_dreamy_mist,8000.0,2,25900.0,3.2375,0.0,1.0,0.5,0.5,ai_creator,cozy_ambience;ai,,,0,False,0.525,0.073,0.046,0.0,0.318,0.793,0.452,0.274,0.655,0.373,214,False
thehouserealty,265000.0,4,100450.0,0.3790566037735849,0.25,0.25,0.75,0.25,real_estate,location;luxury_home,2025-07-20,613.425925925926,0,False,0.138,0.157,0.153,0.404,0.854,0.475,0.36,0.454,0.655,0.37,215,False
kohlectcabins,434000.0,2,11935300.0,0.16267281105990783,0.5,0.5,1.0,0.0,theme_page,cozy_ambience;unusual_home,,,0,False,0.1,0.397,0.966,0.0,0.318,0.51,0.172,0.753,0.19,0.3664,216,False
nestseekersdubai,189000.0,4,142150.0,0.7521164021164021,0.25,0.0,0.75,1.0,real_estate,location;luxury_home,2024-09-28,259.97248968363135,0,False,0.226,0.157,0.192,0.169,0.854,0.238,0.701,0.454,0.655,0.3663,217,False
dunlaphollowcabins,410000.0,2,711500.0,1.7353658536585366,0.5,0.0,1.0,0.5,other,unusual_home,,,0,False,0.375,0.397,0.59,0.0,0.318,0.238,0.452,0.753,0.036,0.3635,218,False
cozy_winter_homes,27000.0,2,59600.0,2.2074074074074073,0.0,1.0,1.0,0.0,theme_page,cozy_ambience,,,0,False,0.437,0.073,0.1,0.0,0.318,0.793,0.172,0.753,0.19,0.3574,219,False
jameseditioncom,167000.0,2,343691.5,2.0580329341317367,0.5,0.0,1.0,0.0,real_estate,luxury_home,,,0,False,0.425,0.397,0.379,0.0,0.318,0.238,0.172,0.753,0.655,0.3554,220,False
