handle,n_reels_in_topics,max_views,median_views,sum_views,n_topics,topics
wildreamhom3,1,18000,18000,18000,2,cozy-cabin-in-the-snow;cozy-winter-cabin
the_greyy_palette,1,17900,17900,17900,1,green-minimalist-interior-design
masiartfurniture,1,17800,17800,17800,1,futuristic-interior
jwmarriottjkt,1,17800,17800,17800,1,luxury-suite
interiorbymumbi,1,17600,17600,17600,1,kids-room-design
brigrc,1,17600,17600,17600,1,como-lake-villas
lacasastudio0,1,17300,17300,17300,1,glass-house-photos
edvardtravels97,1,17300,17300,17300,1,como-lake-villas
virasatvillabanquets,1,17300,17300,17300,1,villa-with-pool
charlottejaynewalton,1,17200,17200,17200,1,marrakech-riad
aifordesigners.online,1,17200,17200,17200,1,ai-interior-design
ruth_with_room,1,17200,17200,17200,1,cozy-room
hf.design.studio,1,17100,17100,17100,1,scandinavian-interior-design-styles
future.architects_,1,17100,17100,17100,1,future-houses-2050
zoomaproperties,1,17000,17000,17000,1,dubai-villa
sunny.palace,1,17000,17000,17000,1,surreal-architecture
victorianhousejourney,1,16800,16800,16800,1,house-tour
cloudscomm,1,16700,16700,16700,1,beach-house
space_design_fx,1,16600,16600,16600,1,rooftop-terrace
bruno.francesca,1,16600,16600,16600,1,marrakech-riad
alexmathiashomes,1,16300,16300,16300,1,desert-house
mitsumarurealestate,1,16300,16300,16300,1,tokyo-apartment
baharinteriorexteriordesign,1,16100,16100,16100,1,modern-classic-interior-design
westlake_homes,1,16100,16100,16100,1,modern-mediterranean-houses
schmickdnd,1,16100,16100,16100,1,hotel-bathroom-designs
polusformis,1,16000,16000,16000,2,mediterranean-house;mediterranean-villa
theaisavvy,1,16000,16000,16000,1,ai-virtual-staging
leisureofnyc,1,16000,16000,16000,1,houses-on-malibu-beach
iconeraofficial,1,15900,15900,15900,1,underground-house
