shortcode,handle,views,views_text,topics,caption,url,source
DULItzMjQq7,design_x_interior,17400000,17.4M,luxury-bedroom-design,Client: I want Super luxury bedroom in my budget 💸 Site Location - Bhaatipara Road Ambikapur Chhat,https://www.instagram.com/reel/DULItzMjQq7/,https://www.instagram.com/popular/luxury-bedroom-design/
DXC3fVijoEN,elitebuildhq,17300000,17.3M,underground-house,"The Ultimate Secret Underground Oasis 🌊💎 . Experience the future of sustainable luxury. Step inside this breathtaking underground container home, wher",https://www.instagram.com/reel/DXC3fVijoEN/,https://www.instagram.com/popular/underground-house/
CpkH2qfguh_,gabscanu,17100000,17.1M,overwater-villa,Is this the ultimate villa/playground? TAG someone you'd stay here with! 💙 📍 @discoversoneva #sonevajani #discoversoneva,https://www.instagram.com/reel/CpkH2qfguh_/,https://www.instagram.com/popular/overwater-villa/
DaM-d0KTKUQ,kratosdigitalarts,17100000,17.1M,ai-art,Made with PicsArt 🤍✨ Create Using - @picsart Oggy and the Cockroaches peacefully sleep,https://www.instagram.com/reel/DaM-d0KTKUQ/,https://www.instagram.com/popular/ai-art/
DX46CqWjZej,imtiazsahib33,16600000,16.6M,underground-house,Building a SECRET Underground Room Under My Lawn! 😱⛏️ #diy #bunker #construction #underground #secretroom #hiddengem #backyardproject,https://www.instagram.com/reel/DX46CqWjZej/,https://www.instagram.com/popular/underground-house/
DXPCR1cE_iL,jonaways,16600000,16.6M,bali-luxury-villas-with-private-pools,Bali feels like a dream every time 😍 Send this to your favorite travel person 🌴 Places like @ulamanbali make it even more,https://www.instagram.com/reel/DXPCR1cE_iL/,https://www.instagram.com/popular/bali-luxury-villas-with-private-pools/
DWwbKkRknNK,swaraagharat,16500000,16.5M,maldives-resort,POV: this feeling when you arrive in the Maldives🇲🇻😍 @furaverimaldives #reels #maldives #travels #re,https://www.instagram.com/reel/DWwbKkRknNK/,https://www.instagram.com/popular/maldives-resort/
DbvdeXsNDcc,edin.flat,16100000,16.1M,home-decor,AD | upgrading our movie nights with @fancyleds 🎬 I've had LED lights behind the TV for a few ye,https://www.instagram.com/reel/DbvdeXsNDcc/,https://www.instagram.com/popular/home-decor/
DYPJn3DMuaV,myplants.uae,15600000,15.6M,landscape-design-ai,Send this to someone who'd turn a small garden into their dream escape 🌺✨ A hidden pond,https://www.instagram.com/reel/DYPJn3DMuaV/,https://www.instagram.com/popular/landscape-design-ai/
C_5u72pxVBx,elarch.studio,15500000,15.5M,ultra-modern-luxury-house-design,"Renderizado por @elarch.studio, este projeto noturno para @arquiteturash é uma verdadeira obra de arte moderna. A volumetria",https://www.instagram.com/reel/C_5u72pxVBx/,https://www.instagram.com/popular/ultra-modern-luxury-house-design/
DSNLwLZCKcD,architect_hitesh,14900000,14.9M,modern-villa,Ultra Luxury Morden villa || #explore #home #luxurylifestyle,https://www.instagram.com/reel/DSNLwLZCKcD/,https://www.instagram.com/popular/modern-villa/
DWs7LG-EoZT,greengenielandscapes,14800000,14.8M,luxury-garden,Luxury landscaping 🧞‍♂️ #gardeninspiration #landscaping #design,https://www.instagram.com/reel/DWs7LG-EoZT/,https://www.instagram.com/popular/luxury-garden/
DLI3AbXsnNC,archibible,14300000,14.3M,midjourney-architecture,Alpine Future . . Follow if you'd like to see more!👨🏻‍💻 Shop link in bio 🖼️ DM for commissions 📩 ——————————————————- Animations designed by @archibibl,https://www.instagram.com/reel/DLI3AbXsnNC/,https://www.instagram.com/popular/midjourney-architecture/
C7mtT4-yj7n,nostalgicraindrops,14100000,14.1M,rain-sounds,Sleep fast with my rain sleep video playlist in bio! ♥️ I would sleep soundly here 🥺☔️ Just what I need now 😭☔️ Feel free to watch our videos while st,https://www.instagram.com/reel/C7mtT4-yj7n/,https://www.instagram.com/popular/rain-sounds/
C5CQZGiP15N,spirithiker,13800000,13.8M,treehouse-hotel,Can you imagine waking up here? 🌲#treehouse This magical forest property has 7 unique treehouses you can stay overnight in! Life here is about living,https://www.instagram.com/reel/C5CQZGiP15N/,https://www.instagram.com/popular/treehouse-hotel/
DRnDRfOjAbX,juliagal_,13600000,13.6M,luxury-hotel,Just checked into the dreamiest hotel room ever😍🪄,https://www.instagram.com/reel/DRnDRfOjAbX/,https://www.instagram.com/popular/luxury-hotel/
DW3n03NCOri,proud_and_property,13500000,13.5M,dream-home,A beautiful 2 Kanal Royal Palace House (Without Basement) is now available for sale!,https://www.instagram.com/reel/DW3n03NCOri/,https://www.instagram.com/popular/dream-home/
CvNKxqDtAj1,homeofmerve,13100000,13.1M,bedroom-decor;bedroom-design;cozy-bedroom-ideas;dream-bedroom-decor-ideas,liebs💓🫶🏽 #bedroom • • • • • • • • • • • • • • • #interior #inspohome #interiorhome #bedroominspiration #schlafzimmerinspiration,https://www.instagram.com/reel/CvNKxqDtAj1/,https://www.instagram.com/popular/bedroom-design/
DS_uPLMlNwQ,calm_neststudio,13100000,13.1M,cozy-rain;rain-cozy;rain-sounds,"Relaxing Gentle Rain, for longer rain videos on my Youtube #sleepingrain #asmrain #relaxingrainforsleep #relaxingforsleep #rainforsleeping #gentlerain",https://www.instagram.com/reel/DS_uPLMlNwQ/,https://www.instagram.com/popular/cozy-rain/
CxH3K5IL2w6,lk4id,13000000,13M,futuristic-interior;luxury-apartment,Modern urban #penthouse living area 🥂 #housetour #walkthrough #virtualreality #render #livingroom #condo #virtualtour #livingroominspo #livingroomdesi,https://www.instagram.com/reel/CxH3K5IL2w6/,https://www.instagram.com/popular/futuristic-interior/
DJgR8XtsFQ2,holayasmin_,12700000,12.7M,cottagecore-living-room-design,Happy Weekend✨ . . . . . #livingroom #livingroominspo #interior_and_living #altbauliebe #elegant #apartmenttherapy #parisianstyle #parisianamour #aest,https://www.instagram.com/reel/DJgR8XtsFQ2/,https://www.instagram.com/popular/cottagecore-living-room-design/
DUv6Hefgpjs,not_your_basic_build,12600000,12.6M,underground-house,I Built a Secret Underground Bunker Alone Ever wondered what's hidden beneath a simple backyard? Watch this satisfying 45-day timelapse of building a,https://www.instagram.com/reel/DUv6Hefgpjs/,https://www.instagram.com/popular/underground-house/
DJyM7Akq1RY,lakecomo_boat,12400000,12.4M,como-lake-villas;lake-como-villa,"LAKE COMO ✨🇮🇹 🎻 ""Lunch on the lake"" 4 hrs private Cruise PRIVATE CRUISE – from Varenna and Bellagio stop for lunch and villa A wonderful opportunity t",https://www.instagram.com/reel/DJyM7Akq1RY/,https://www.instagram.com/popular/lake-como-villa/
DX3a6h_CvdH,lakecomo_boat,12400000,12.4M,lake-como-villa,"POV: you finally understand Lake como 🇮🇹✨ PRIVATE CRUISE 3 hours Wooden boats, iconic car, Golden light, champagne in hand… and nothing else matters.",https://www.instagram.com/reel/DX3a6h_CvdH/,https://www.instagram.com/popular/lake-como-villa/
C7ReAAISXLL,earthfm_net,12100000,12.1M,rainy-day,"On rainy days, away from the noisycity, feel a cool and comfortable.. #rain #raining",https://www.instagram.com/reel/C7ReAAISXLL/,https://www.instagram.com/popular/rainy-day/
DVI8mxrjUGN,zinapoyalar_uz,11800000,11.8M,architecture,#foryou #reels #rek #architecture #construction,https://www.instagram.com/reel/DVI8mxrjUGN/,https://www.instagram.com/popular/architecture/
DVGaPhTDQO8,jen.casanovas.ibiza,11700000,11.7M,architecture,Testing new doors for clients new houses 😮‍💨 #realestate #architecture #design #porce,https://www.instagram.com/reel/DVGaPhTDQO8/,https://www.instagram.com/popular/architecture/
DU18Wc1kQNI,poladcrete,11700000,11.7M,backyard-design,"Minimal design. Maximum peace. We turn unused spaces into clean, functional, and modern ba",https://www.instagram.com/reel/DU18Wc1kQNI/,https://www.instagram.com/popular/backyard-design/
DS8X3AKk_vU,ai.design.ideas,11300000,11.3M,industrial-interior,"MODERN LOFT Design (Before → After) Originally, this loft presented itself as an unfinished",https://www.instagram.com/reel/DS8X3AKk_vU/,https://www.instagram.com/popular/industrial-interior/
DVi-WL4kRm2,mycozycorner_28,11200000,11.2M,home-decor-ideas,"From a plain wall to Pinterest vibes ✨ All it took was one neon light. Simple, budget-friendly, and such a mood changer.",https://www.instagram.com/reel/DVi-WL4kRm2/,https://www.instagram.com/popular/home-decor-ideas/
DcRFxpMITCJ,sellingwithsimmrit,10700000,10.7M,dubai-villa,35 Million Dirhams Home Tour 🤩 . . . #luxuryliving #dubai #richierich #damacproperties,https://www.instagram.com/reel/DcRFxpMITCJ/,https://www.instagram.com/popular/dubai-villa/
DZ-j3rtI5AA,northern___bear,10400000,10.4M,hunza-valley-luxury-resorts,Shangrila Resort Skardu,https://www.instagram.com/reel/DZ-j3rtI5AA/,https://www.instagram.com/popular/hunza-valley-luxury-resorts/
DVOqMmzCRgK,_jeni__va,10300000,10.3M,dream-room,"My simple room without new bed and furniture, (wardrobe) 🩵🥺🌷",https://www.instagram.com/reel/DVOqMmzCRgK/,https://www.instagram.com/popular/dream-room/
C-ks822KeDg,abdullahaslanoglu_,10200000,10.2M,modern-house;modern-villa,Modernism touched by light 💥 @abdullahaslanoglu_ #REKLAM #building #buildingdesign #3dbuilding,https://www.instagram.com/reel/C-ks822KeDg/,https://www.instagram.com/popular/modern-house/
DVGl8ltDtL_,wayup_media,10200000,10.2M,real-estate,"This answer says more about your marriage than you might think 😂 Tag her to see if you got it right. One home gives full luxury castle vibes, the next",https://www.instagram.com/reel/DVGl8ltDtL_/,https://www.instagram.com/popular/real-estate/
DKOV1oESWwa,aura.__.films,10000000,10M,rainy-day,Rainy season is here <3 #rainydays☔️ #rainday #ａｅｓｔｈｅｔｉｃ #reels #viral #monsoon,https://www.instagram.com/reel/DKOV1oESWwa/,https://www.instagram.com/popular/rainy-day/
DNEAJl7TQ8U,predmet_ai,9900000,9.9M,ai-render,Feel the Vibe ✨ Prompts & Art: @predmet_ai Made by Midjourney • AE • Kling AI #future #city #fl,https://www.instagram.com/reel/DNEAJl7TQ8U/,https://www.instagram.com/popular/ai-render/
ClqxD0UjSbJ,wayup_media,9800000,9.8M,luxury-real-estate,Would you live here?? Sneak peak into a magnificent property we shot yesterday 🥂 Builder: @lamarcohomes Architect: @martinisamartinodesigngroup Design,https://www.instagram.com/reel/ClqxD0UjSbJ/,https://www.instagram.com/popular/luxury-real-estate/
DX4piBMuBnd,explaining.architecturee,9700000,9.7M,architecture,They told the architect his design was impossible. He built it anyway. And it became the most recognizab,https://www.instagram.com/reel/DX4piBMuBnd/,https://www.instagram.com/popular/architecture/
DI9Q70Uo8fB,luxuriatetouche,9700000,9.7M,ultra-modern-luxury-house-design,Luxury modern house exterior design 🏠 #lightingdesign #lightingdecor #lighting #lightdesign #livingarea #livingspace #bedroominterior #bedroomdecor #l,https://www.instagram.com/reel/DI9Q70Uo8fB/,https://www.instagram.com/popular/ultra-modern-luxury-house-design/
DTLBYuJCEXv,calm_and_cozy_moments,9400000,9.4M,green-minimalist-interior-design,💚💚💚 * * * #plantsarefriends #plantsmakepeoplehappy #plantmom #plantlover #crazyplantlady urbanjungleblog houseplantclub houseplantlove bohointeriors b,https://www.instagram.com/reel/DTLBYuJCEXv/,https://www.instagram.com/popular/green-minimalist-interior-design/
Da-iZyqNJ-P,day_design_101,9200000,9.2M,landscape-design,Watch the amazing process of designing and building this beautiful landscape from,https://www.instagram.com/reel/Da-iZyqNJ-P/,https://www.instagram.com/popular/landscape-design/
DW6LdVcDGeh,buildcraft.hq,9200000,9.2M,future-home,The Future of Architectural Excellence: A Masterpiece Unveiled. Experience the pinnacle of innovation where,https://www.instagram.com/reel/DW6LdVcDGeh/,https://www.instagram.com/popular/future-home/
DVGfCUaCIZa,psychologyfacts0099,9000000,9M,interior-styling,Would you sleep here for $1 Million? 🐊💸 We built an underground container home with a direct view into a crocodile river. From rusty,https://www.instagram.com/reel/DVGfCUaCIZa/,https://www.instagram.com/popular/interior-styling/
DbRAPWasT_E,designevolutionn,8900000,8.9M,luxury-garden,"EN | A garden is more than a collection of plants, pathways, and architectural elements—it is a reflection of the life lived within it. This villa gar",https://www.instagram.com/reel/DbRAPWasT_E/,https://www.instagram.com/popular/luxury-garden/
DWzPi-IgcuY,soldbytyler,8800000,8.8M,real-estate,"Which GTA house would you rather to live in? 🤔 List: @resnickandnash DM me for all Buying, Selling, and Leasing in LA. 📲 Personal",https://www.instagram.com/reel/DWzPi-IgcuY/,https://www.instagram.com/popular/real-estate/
DE-hvtFImVY,juliagal_,8700000,8.7M,best-rooftop-pools,Tag someone you would bring here🥂 #dubai #beautifulhotels #hotelsandresorts #luxuryvacations #best_worldplaces #luxury,https://www.instagram.com/reel/DE-hvtFImVY/,https://www.instagram.com/popular/best-rooftop-pools/
DDnJ5x6tfYm,wifizei,8600000,8.6M,luxury-life;luxury-lifestyle,Future Life 🫀💸 #luxury #success #wealth #rich,https://www.instagram.com/reel/DDnJ5x6tfYm/,https://www.instagram.com/popular/luxury-lifestyle/
DZU_GwjO1sk,ryanserhant,8400000,8.4M,jamesedition-luxury-homes,He said this was just ONE of his houses?!,https://www.instagram.com/reel/DZU_GwjO1sk/,https://www.instagram.com/popular/jamesedition-luxury-homes/
